seed,variant,step,ego_x,ego_y,ego_theta,obs_x,obs_y,obs_mode,collision,missed_mode,clearance
200042,OT,107,19.9628,0.0676,3.7062,-6.2212,-6.8618,turn_right,0,1,27.0854
200042,OT,108,19.9575,0.0639,3.7862,-6.3676,-6.9902,turn_right,0,0,27.2538
200042,OT,109,19.9525,0.0598,3.8662,-6.5176,-7.1141,turn_right,0,0,27.4251
200042,OT,110,19.9479,0.0554,3.9462,-6.6713,-7.2335,turn_right,0,1,27.5991
200042,OT,111,19.9437,0.0507,4.0262,-6.8285,-7.3482,turn_right,0,1,27.7758
200042,OT,112,19.9399,0.0456,4.1062,-6.9890,-7.4582,turn_right,0,0,27.9549
200042,OT,113,19.9366,0.0404,4.1862,-7.1528,-7.5634,turn_right,0,0,28.1363
200042,OT,114,19.9337,0.0349,4.2662,-7.3198,-7.6637,turn_right,0,0,28.3199
200042,OT,115,19.9312,0.0292,4.3462,-7.4897,-7.7587,turn_right,0,0,28.5054
200042,OT,116,19.9293,0.0234,4.4262,-7.6623,-7.8486,turn_right,0,1,28.6926
200042,OT,117,19.9278,0.0174,4.5062,-7.8375,-7.9333,turn_right,0,0,28.8812
200042,OT,118,19.9268,0.0114,4.5862,-8.0150,-8.0127,turn_right,0,0,29.0711
200042,OT,119,19.9262,0.0054,4.6662,-8.1949,-8.0867,turn_left,0,1,29.2623
200042,OT,120,19.9262,-0.0007,4.7462,-8.3726,-8.1660,turn_left,0,0,29.4533
200042,OT,121,19.9266,-0.0067,4.8262,-8.5479,-8.2506,turn_left,0,0,29.6439
